Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
Tools,,,,,,82074090,Totem HSS tap,8x1.25,,Nos,504,18%,595,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",12/Nov/2025,MG-2025-26-156,730890,"2 X 3 High Raised Structure                  SSH 7ft. NSH 8ft                                       Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                                Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,             Cross Bracing 40x3mm angle,   Accessories",10 Kw,,Set,21500,18%,25370,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",19/Nov/2025,MG-2025-2026-162,730890,"2 X 3 High Raised Structure                  SSH 3.5ft. NSH 2ft                                       Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                                Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,             Cross Bracing 40x3mm angle,   Accessories",,,Set,15500,18%,18290,,
STRUCTURE,,,,,,,purlin 41x41x2 mm uni struct channel,,,Nos,46.8,18%,55,,
SEAL,,THIRUMAGAL ACHAGAM,"74-B, CPS Colony, Kavundampalayam, MTP Road, Coimbatore - 30",20/Nov/2025,47,,Pre-Ink Seal,,,Nos,320,,320,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",22/Nov/2025,LTM25-26/40182,61169200,Hand Gloves,Rubber Cotted,Laxmisafe,Pcs,65,5%,68,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",22/Nov/2025,,82075000,HSS Drill Bit,12 mm,VERX,Pcs,500,18%,590,,
Tools,,Lion Tools Mart,"303, Pioneer Trower, Dr. Nanjappa road, Coimbatore - 641008",22/Nov/2025,LTM25-26/40199,82052000,Hammer With Fiber Handle,6LB,Reddison,Pcs,1017,18%,1200,,
HARDWARE & TOOLS,,Orient Hardware & Tools Corporation,"Unit-1 PO. Box No.3795 264, Dr.Nanjappa Road, Coimbatore - 641 018",22/Nov/2025,1-CB38001,73102990,Tool Box,"17 x 9 x 6.5"", Three Compartment, Powder Coated",Bullwark,Nos,1365,18%,1611,,
HARDWARE & TOOLS,,Orient Hardware & Tools Corporation,"Unit-1 PO. Box No.3795 264, Dr.Nanjappa Road, Coimbatore - 641 018",22/Nov/2025,1-CB38001,44170000,Hammer Handle ,"Hard Wood - Sledge 12""",Bullwark,Nos,56,5%,59,,
WATER HEATER,,Solar Hitech Solutions (p) Ltd,"No.7, Thiyahi Kumaran Street, V.K.Road, Thaneerpandal, Coimbatore - 33",26/Nov/2025,TN/277/25-26,84191920,Solar Manifold 50 Tubes Type with Tubes 58mm x 1800mm,"25+25 tubes, Buterfly Type Manifold",,Set,27500,5%,28875,,
MEMBERSHIP,,Codissia,"Codissia G.D.Naidu Towers, Post Bag No. 3827, Huzur Road, Coimbatore  - 641018",27/Nov/2025,1600,99951,Associate membership Subscription,,,,2200,18%,2596,,
MEMBERSHIP,,,,,,99951,Entrance Fees on New Members,,,,2000,18%,2360,,
HARDWARE,,Sri Vigneswara Steels & Hardware,"1/234-C, Karadivavi Main Rd, Paruvai, Karanampettai, Coimbatore - 641 658",28/Nov/2025,CB/-1348,25232930,Cememt,,RAMCO,Bag,254.24,18%,300,,
WATER HEATER,,Solar Hitech Solutions (p) Ltd,"No.7, Thiyahi Kumaran Street, V.K.Road, Thaneerpandal, Coimbatore - 33",9/Dec/2025,TN/294/25-26,84191920,Solar Manifold 50 Tubes Type with Tubes 58mm x 1800mm,,,Nos,27500,5%,28875,,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",4/Feb/2026,MG-2026-27-199,730890,"2 X 3 High Raised Structure                  SSH 8ft. NSH 7ft                                       Leg 80x40x15x2 mm clip channel  Purlin 41x41x2 mm Unit Struct Channel,                                                Rafter 80x40x15x2 mm clip channel, Base Plate 150x150x6 mm,             Cross Bracing 40x3mm angle,   Accessories",,.,set,13800,18%,16284,,
Inverter,3 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",12/Feb/2026,FSCP/00353/25-26,85044090,ONGRID INVERTER - 3 Kw,1 Ph Ongrid,DEYE,Nos,"13,900",5%,14595,,
ACDB,3 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",12/Feb/2026,FSCP/00353/25-26,85362010,ACDB Box,,,Nos,1450,18%,1711,,
DCDB,3 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600059",12/Feb/2026,FSCP/00353/25-26,85362010,DCDB Box ,,,Nos,1300,18%,1534,,
WIRE,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,85446090,Wire,4 Sq.mm,RR,Mtr,125.51,18%,148,52%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,39269099,Cable Tie ,200mm x 3.6,GT,Pkt,164,18%,194,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,39239090,UV Cable Tie,250mm x 4.8mm,Novo Flex,Pkt,212,18%,250,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,85469090,Insulation Tape,,Gree,Nos,17,18%,20,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,85446090,Wire,2.5Sq.mm,RR,Mtr,81.63,18%,96,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,39172310,Flexible Tube,20mm,,Mtr,10,18%,12,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",13/Feb/2026,CR-19431/25-26,85469090,Busbar,,Porcelain ,Nos,25,18%,30,,
Solar Panel,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",16/02/2026,FSCP/00370/25-26,85414300,Solar Panel,550wp Dcr,ADANI,Nos,13860,5%,14553,,
Solar Panel,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600060",19/02/2026,FSCP/00387/25-26,85414300,Solar Panel,550wp Dcr,ADANI,Nos,13860,5%,14553,,
Solar Panel,,K Power,"5B Sri Alamelu Nagr, Kamarajar Road",23/02/2026,KP/25-26/0950,85414300,Solar Panel,550wp Non Dcr,ADANI,Nos,7975,5%,8374,,
Solar Panel,,K Power,"5B Sri Alamelu Nagr, Kamarajar Road",23/02/2026,KP/25-26/0948,85414300,Solar Panel,550wp Non Dcr,ADANI,Nos,7975,5%,8374,,
Battery,5.1 KW,Perfect Energy,"1/23A, Thiruvalluvar Street, New Sidhapudur, Coimbatore - 641044",24/2/2026,1062,85076000,Battery,48V,Hykon,Nos,48305.08,18%,57000,,
EARTHING ,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",24/02/2026,FSCP/00400/25-26,85389000,Earthing Electrode,1.5m,,Nos,465,18%,549,,
EARTHING,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",24/02/2026,FSCP/00400/25-26,85389000,Lightning Arrestor,,,Nos,1200,18%,1416,,
EARTHING,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",24/02/2026,FSCP/00400/25-26,39189090,Earthing Pit Chamber,18*18,,Nos,330,18%,389,,
EARTHG,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",24/02/2026,FSCP/00400/25-26,38249917,Eathing Compound,,,Nos,230,18%,271,,
Inverter,10 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 6000598",25/02/2026,FSCH/08998/25-26,85044090,Inverter,On Grid 3P 10kw,DEYE,Nos,45281,18%,53432,,
DCDB,10 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 6000598",25/02/2026,FSCH/08998/25-26,85362010,DCDB Box ,2 In 2 Out,,Nos,7400,18%,8732,,
ACDB,10 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 6000598",25/02/2026,FSCH/08998/25-26,85362010,ACDB Box,32Amcb,,Nos,4000,18%,4720,,
DC cable,, The Multi Great's,"239-B, Nanjappa road, Coimbatore - 641 018",25/02/2026,TMG - 8849/25-26,85446020,DC Cable,4Sq.mm Red/ Black,,Mtr,52,18%,61,,
DC cable,, The Multi Great's,"239-B, Nanjappa road, Coimbatore - 641 018",25/02/2026,TMG - 8849/25-26,85446020,DC Cable,4Sq.mm Black,,Mtr,52,18%,61,,
Solar Panel,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058","March 3, 2026",FSCP/00417/25-26,85414300,Solar Panel,550wp Dcr,ADANI,Nos,14190,5%,14900,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Feb/2026,CR - 20535/25-26,82054000,Testor (Indicator),,,Nos,70,18%,83,25%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Feb/2026,CR - 20535/25-26,85469090,Busbar ISOLATER,,,Nos,10,18%,12,,
WIRE,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Feb/2026,CR - 20535/25-26,85446090,Wire,10Sq.mm ,SN Cab,Mtr,332.3,18%,392,57%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,853690,Pin Socket,4Sq.mm,,Nos,7.8,18%,9,48%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,853690,Ring Socket,,,Nos,14.3,18%,17,48%  Discount,
WIRE,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,85446090,Wire,4Sq.mm,RR,Mtr,125.51,18%,148,52%  Discount,
WIRE,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,85446090,Wire,10Sq.mm,SN Cab,Mtr,332.3,18%,392,55%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,85469010,HS Sleeves,5mm,,Mtr,10.6,18%,13,,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,85362030,MCB,63 Amps,,Nos,4012,18%,4734,60%  Discount,
ELECTRICAL,,Best Insulation,"66, Somasundaram Mill Road, Coimbatore - 641009",3/Jun/2026,CR - 20925/25-26,85361030,MCB Enclosure,4Pole,,Nos,400,18%,472,40%  Discount,
STRUCTURE,,MG SOLAR SOLUTIONS,"No.63, Vanchinatan Street, Alwarthirunagar, Chennai - 600087",3/Jun/2026,MG-2026-27-214,730890,9Pannels x 2 rows assembly 18 panels.                                                        Pre galvanized structure                   North_4.5ft South_3.5ft                           Leg_80 x 40 x 15 x 2 mm                          c lip channel Purlin 41 x 41 x 15 x 2 mm unit struct channel                       Rafter_80 x 40 x 15 x 2 mm c lip channel base plate 150 x 6 mm with Accessories,10 Kw,,Set,"30,000",18%,35400,,
CAR BATTERY,,SHIVAM AUTOMOBILES,"Old No. 77, New  No.27, SMR Layout, Subramaniyampalayam Road, GN Mills & Post, Coimbatore - 641 029.",3/13/2026,1053,85071000,Amaron F10 Battery,SL.No: AAB0306A239999,Amaron,Nos,3389.83,18%,4000,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,3*3 2mm ,,Kgs,63.56,18%,75,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,80*40 1.6mm,,Kgs,64.83,18%,76,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,3*3 1.6 mm,,Kgs,65.25,18%,77,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,80*40 2mm,,Kgs,63.56,18%,75,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,60*40 1.6mm,,Kgs,64.83,18%,76,,
STRUCTURE,,SUPREME STEELS,"51-B, Thiruvalluvar Street, Near GN Mills Rly Gate, GN Mills post, Coimbatore - 641 029",3/17/2026,7187,73066100,M.S.Pipes,40*40 1.6mm,,Kgs,64.83,18%,76,,
ROOF,,S.V. ROOFINGS,"SF.NO 566, D.NO. 5/644-D, Thadagam Road, Somayampalayam (PO), Coimbatore - 641 108",3/16/2026,SVR4218,72109090,JSW Silveron + BGL Steel Galumecoil 0.47 mm,22 feet,JSW,Sqmt,359.33,18%,424,,
ROOF,,S.V. ROOFINGS,"SF.NO 566, D.NO. 5/644-D, Thadagam Road, Somayampalayam (PO), Coimbatore - 641 108",3/16/2026,SVR4218,73182990,"Screw 15""",35*12,,Nos,2.97,18%,4,,
ELECTRICAL,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",3/20/2026,TMG-9538/25-26,85446020,DC CABLE,RED 4 SQ.MM,POLYCAB,MTR,57,18%,67,,
ELECTRICAL,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",3/20/2026,TMG-9538/25-26,85446020,DC CABLE,Black 4 SQ.MM,POLYCAB,MTR,57,18%,67,,
Tools,,Lion Tools Mart,"239-B, Nanjappa road, Coimbatore - 641 018",3/21/2026,LTM25-26/61210,82041120,ALLEN KEY,6 MM,TAPARIA,Pcs,95,18%,112,15.25%,
Tools,,Lion Tools Mart,"239-B, Nanjappa road, Coimbatore - 641 018",3/21/2026,LTM25-26/61210,82051000,WIRE CRIMPING TOOL,,PROCUT,Pcs,700,18%,826,15.25%,
Tools,,Lion Tools Mart,"239-B, Nanjappa road, Coimbatore - 641 018",3/21/2026,LTM25-26/61210,82075000,HSS Drill Bit,4.5MM,VERX,Pcs,60,18%,71,15.25%,
Tools,,Orient Hardware & Tools Corporation,"unit-1, No. 264, Dr.Nanjappa Road, Coimbatore - 641 018",3/24/2026,1-CB59556,82075000,Hammer drill (Golden Bullet),22x350 mm,,Nos,315.66,18%,372,,
Tools,,Orient Hardware & Tools Corporation,"unit-1, No. 264, Dr.Nanjappa Road, Coimbatore - 641 018",3/24/2026,1-CB59572,82041110,Double Open End Spanner,6 to 32 mm,Talbro,set,1155,18%,1363,65%,
Tools,,Orient Hardware & Tools Corporation,"unit-1, No. 264, Dr.Nanjappa Road, Coimbatore - 641 018",3/24/2026,1-CB59572,84672900,Solar Crimping Tool,2.5 to 6 Sq.mm & 670 gm,Jainson,Nos,1100,18%,1298,75%,
Tools,,Orient Hardware & Tools Corporation,"unit-1, No. 264, Dr.Nanjappa Road, Coimbatore - 641 018",3/24/2026,1-CB59572,84678910,Electric pop Riviter,"3.2 to 5 mm & 400w, 8000N Traction Force, 22 Stroke, 2.48Kg with 1 set spare Jaws",Time,Nos,11025,18%,13010,70%,
ELECTRICAL,,Smart Power Solutions,"178 Old no 14/39 New 177, Raju Naidu Street, Sivananthacolony, Coimbatore - 641012",3/27/2026,SPS/A5528/25-26,854140,Charge Controller,"12/24V, 20A, ",Luminous,Nos,1095,5%,1149.75,,
EARTHING,,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/27/2026,FSCP/00541/25-26,85389000,Earthing Electrode,1 mts 17.2m dia,Excelerathings,Nos,465,18%,548.7,,
EARTHING,,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/27/2026,FSCP/00541/25-26,85389000,Lightning Arrestor,,Excelerathings,Nos,1200,18%,1416,,
DCDB,5 KW,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/27/2026,FSCP/00541/25-26,85362010,DCDB Box ,2 in 2 out 500V 1 MCB & 1 SPD,,Nos,4950,18%,5841,,
ACDB,5KW,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/27/2026,FSCP/00541/25-26,85362010,ACDB Box,1 Ph With 32A MCB,,Nos,4700,18%,5546,,
Solar Panel,,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/27/2026,FSCP/00541/25-26,85414300,Solar Panel,550wp Dcr,ADANI,Nos,"13,145",5%,"13,802",,
EARTHING,,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/30/2026,FSCP/00563/25-26,38249917,EARTHING COMPOUND,10 KgS,,Nos,230,18%,271.4,,
EARTHING,,FESTA  SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/30/2026,FSCP/00563/25-26,39189090,EARTHING PIT CHAMBER 18 X18,18 X 18,,Nos,330,18%,389.4,,
Inverter,5 KW,FESTA SOLAR PVT LTD,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",3/30/2026,FSCH/10150/25-26,85044090,INVERTER  ,5 KW HYBRID,FESTON,Nos,76000,5%,79800,,
FIRE SERVICE,,SAI FIRE SERVICE,"SF.NO.501/2, JVM GARDEN, SUBRAMANIAMPALAYAM, GN MILLS POST, COIMBATORE - 641029",4/2/2026,296,84241000,ABC 6 Kg,,,Nos,750,18%,885,,
STRUCTURE,,Unik power,"409, sakkarai korai thottam, Ulaipalar Street, Urumandampalayam, Coimbatore - 641 029",4/6/2026,26-27/21,7604,mini rail ,100x90 - 300 mm,,Nos,265,18%,312.7,,
STRUCTURE,,Unik power,"409, sakkarai korai thottam, Ulaipalar Street, Urumandampalayam, Coimbatore - 641 029",,26-27/21,7604,GI Structures,VDR-4,,Nos,3800,18%,4484,,
STRUCTURE,10 KW,R K Metal Roofings Private Limited,,,PMH107,72083990,"BGL ""C"" PURLIN 2 MM THICKNESS (80X40X15)","RAFTER - 1600 -  8 Nos,         P1- 6277 - 2 Nos,                      P2 - 5800 - 2 Nos,                          P3 - 3000 - 2 Nos,                                 P4 - 6277 - 2 Nos,                                        BRACING 1 -3036 - 2 Nos                         BRACING 2 -3099 - 2 Nos",,SET,15485,18%,18272.3,,
STRUCTURE,,R K Metal Roofings Private Limited,,,PMH107,72083990,HRPLATE 5MM THICKNESS,250X250 - 16 Nos,,SET,4290,18%,5062.2,,
STRUCTURE,,R K Metal Roofings Private Limited,,,PMH107,72083990,"BGL ""C"" PURLIN 2 MM THICKNESS (120X50X15)","COLUMN POST 1 - 2057 - 8 Nos, COLUMN POST 2 -2232 - 8 Nos",,SET,10980,18%,12956.4,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4865,,ROLLING CHAIR,,,Nos,1700,,1700,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4865,,6 X 4 OPEN RACK,,,Nos,5000,,5000,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4868,,6 X 3 OPEN RACK,,,Nos,3000,,3000,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4867,,TRAY,,,Nos,130,,130,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4867,,KNIFE,,,Nos,16.5,,16.5,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4867,,SCARF,,,Nos,80,,80,,
FURNITURE,,SHOCKING DEALS,"VADAMADURAI, KURUDAMPALAYAM SUB PO, COIMBATORE - 641017",4/8/2026,4867,,LIGHT ,,,Nos,10,,10,,
ELECTRICALS & HARDWARES,,DILIP ELECTRICALS & HARDWARES,"NO.2, SMR LAYOUT,SM PALAYAM, GN MILLS, COIMBATORE - 641 029",4/9/2026,28/26-27,85365,4*4 SPIKE GUARD 5 MTRS,,,Nos,550.85,18%,650.003,,
ELECTRICALS & HARDWARES,,DILIP ELECTRICALS & HARDWARES,"NO.2, SMR LAYOUT,SM PALAYAM, GN MILLS, COIMBATORE - 641 029",4/9/2026,29/26-27,85167,MOSQUITO RACQUET ZAPPY YELLOW ,,CROMPTON,Nos,450,18%,531,,
ELECTRICALS & HARDWARES,,DILIP ELECTRICALS & HARDWARES,"NO.2, SMR LAYOUT,SM PALAYAM, GN MILLS, COIMBATORE - 641 029",4/9/2026,29/26-27,85365,G M CUBA NOVO 6A 1 WAY SWITCH AE1001,,,Nos,20,18%,23.6,,
STRUCTURE,5 KW,SHIVAA ENGINEERING WORKS,"NO.108/1, ATHIPALAYAM ROAD, CHINNAVEDAMPATTI, COIMBATORE - 641049",4/9/2026,SHI/27-28/57,73081000,PRE GALVAINZING MMS ROOF TOP,"5 X 2 TABLE, 5.5KW SYSTEM, NORTH 8 FT; SOUTH 7 FT, RAFTER 4000MM, PURLIN 2950 MM, CROSS BRACING 900MM,BASE PLATE 150X150X5 MM, MID CLAMP, END CLAMP",,Set,21620,18%,25511.6,,
INVERTER,10 KW,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",4/16/2026,FSCH/00581/26-27,85044090,DEYE HYBRID INVERTER,10 KW  3Ph,DEYE,Nos,156000,5%,163800,,
DCDB,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",4/16/2026,FSCH/00581/26-27,85362010,DCDB Box ,2 in 2 out 1000V                                                          1 MCB & 1SPD,FESTON,Nos,7750,18%,9145,,
ACDB,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",4/16/2026,FSCH/00581/26-27,85362010,ACDB Box,3Ph With Change Over                                                                                                                                                                                        32 A MCB,FESTON,Nos,10900,18%,12862,,
BATTERY BOX,,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",4/16/2026,FSCH/00581/26-27,85362010,Battey Box,250 Amps,FESTON,Nos,4900,18%,5782,,
STRUCTURE,4.48 Kw,Unik power,"409, sakkarai korai thottam, Ulaipalar Street, Urumandampalayam, Coimbatore - 641 029",4/16/2026,26-27/54,7208,GI Structures,VDR-8,,set,21952,18%,25903.36,,
Solar Panel,5 kw,FESTA SOLAR PRIVATE LIMITED,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",4/17/2026,FSCP/00064/26-27,85414300,SOLAR PANEL TOPCON ,615Wp,ADANI,Nos,15683,5%,16467.15,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,73089090,grid Channel Wall Angle ,24mm / 10 feet,ZGYB - BLORCK,Nos,76.75,18%,90.565,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,73089090,grid Channel Crosstee,24mm / 2 feet,ZGYB - BLORCK,Nos,15.25,18%,17.995,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,73089090,grid Channel Crosstee,24mm / 4 feet,ZGYB - BLORCK,Nos,30.51,18%,36.0018,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,73089090,grid Channel Maintee,24mm / 12 feet,ZGYB - BLORCK,Nos,91.53,18%,108.0054,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,68091900,PVC Gypsum ceiling Tiles,7mm / (595x595),,Nos,63.56,18%,75.0008,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,73181400,Screw,"25MM / 1""",Drywell,Box,237.29,18%,280.0022,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/16/2026,ICICI00178,44219090,Wooden Plug ,100 Nos,,Box,42.37,18%,49.9966,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/17/2026,CA00114,73089090,grid Channel Wall Angle ,24mm / 10 feet,ZGYB - BLORCK,Nos,76.27,18%,89.9986,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/17/2026,CA00114,73089090,grid Channel Crosstee,24mm / 2 feet,ZGYB - BLORCK,Nos,15.25,18%,17.995,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/17/2026,CA00114,73089090,grid Channel Crosstee,24mm / 4 feet,ZGYB - BLORCK,Nos,30.51,18%,36.0018,,
ceiling,,SREE LINGA LAM AND BOARDSS,"1064, Mettupalayam Road, Coimbatore - 641002",4/17/2026,CA00114,73089090,grid Channel Maintee,24mm / 12 feet,ZGYB - BLORCK,Nos,91.53,18%,108.0054,,
