Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
Structure,,V J RENEWABLE AND ENGINEERING,"SF.NO: 593/6B, Site No. 32, Eachanari Road, Podanur, Coimbatore - 641 023",16/Apr/2025,VJ/25-26/0057,73089010,Galvanized Solar Structure,10 X 3-1 set South 9 Feet,,Set,"56,800",18%,67024,,
Solar Panel,,FESTA SOLAR PRIVATE LTD ,"Ground, 1 st and 2 nd Floor,97/80, Vanagaram Ambattur, Road, Multi infotech, chennai - 600058",17/Apr/2025,FSCB/00040/25-26,85414300, Solar Panel,Bifacial 550 wp DCR,ADANI,Nos,14162.5,12%,15862,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",21/Apr/2025,TMG-602/25-26,85369090,Aluminium Ring Terminals,300 Sq.mm,Dowells,Nos,127,18%,150,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",21/Apr/2025,TMG-602/25-26,85369090,Aluminium Ring Terminals,150 Sq.mm,Dowells,Nos,41,18%,48,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",21/Apr/2025,TMG-602/25-26,85469090,PVC Insulation Tape,"3/4""",Wonder K19,Nos,20,18%,24,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",21/Apr/2025,TMG-602/25-26,85381010,DC Gland,70mm,Bharath,Nos,320,18%,378,,
Solar,,TECHNO GREAT POWER AUTOMATION LLP,"SF.NO.102, D.No. 28, Buddhar Street, Ganapathy, Coimbatore -  641 029",26/Apr/2025,TGPA/027/25-26,85371000,Solar Incoming Panel,,,Nos,16500,18%,19470,,
Solar,,TECHNO GREAT POWER AUTOMATION LLP,"SF.NO.102, D.No. 28, Buddhar Street, Ganapathy, Coimbatore -  641 029",26/Apr/2025,TGPA/027/25-26,85371000,Solar AC Switch Box,,,Nos,8800,18%,10384,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,39171010,U PVC Elbow,25mm(1''),,Nos,18.3,18%,22,,
ELECTRICAL HARDWARE  ,,THE MULTI GREATS,"239-B, Nanjappa road, Coimbatore - 641 018",26/Apr/2025,TMG-733/25-26,39171010,U PVC Tee,25mm(1''),,Nos,24.85,18%,29,,
